team,avg distance,paint,midrange,threes,wins
ATL2018,13.5773200285103,0.400272727272727,0.196318181818182,0.403681818181818,24
BOS2018,13.665605734767,0.3998,0.1715,0.42845,55
BRK2018,13.6899634523475,0.486238095238095,0.130095238095238,0.383619047619048,28
CHO2018,13.1649732620321,0.459588235294118,0.215529411764706,0.324882352941176,36
CHI2018,13.6102676733013,0.422809523809524,0.193619047619048,0.383428571428571,27
CLE2018,13.7981007194245,0.441954545454545,0.208545454545454,0.350227272727273,50
DAL2018,14.4143425163306,0.452869565217391,0.179434782608696,0.367130434782609,24
DEN2018,12.8011123627147,0.498823529411765,0.149941176470588,0.351294117647059,46
DET2018,13.1341702903633,0.486681818181818,0.194727272727273,0.318409090909091,39
GSW2018,13.9602635725541,0.486529411764706,0.231235294117647,0.282235294117647,58
HOU2018,15.0177671589922,0.439458333333333,0.091625,0.445666666666667,65
IND2018,13.0380347310462,0.471764705882353,0.270470588235294,0.257647058823529,48
LAC2018,11.80962307253,0.504571428571429,0.196476190476191,0.29847619047619,42
LAL2018,12.4072433774834,0.494125,0.157416666666667,0.348416666666667,35
MEM2018,12.8004272245138,0.464791666666667,0.253541666666667,0.281666666666667,22
MIA2018,13.1990281549235,0.386947368421052,0.178789473684211,0.433894736842105,44
MIL2018,12.3865285735273,0.475375,0.174875,0.350208333333333,44
MIN2018,12.2910236443438,0.4816875,0.234625,0.284375,47
NOP2018,12.5035078027897,0.48604347826087,0.210086956521739,0.30395652173913,48
NYK2018,12.692089531489,0.513190476190476,0.225333333333333,0.261095238095238,29
OKC2018,13.2240963855422,0.484529411764706,0.171764705882353,0.343411764705882,48
ORL2018,13.27470888952,0.418052631578947,0.247578947368421,0.334052631578947,25
PHI2018,13.3211045364892,0.423652173913044,0.200565217391304,0.375913043478261,52
PHO2018,12.4703822993978,0.502681818181818,0.157727272727273,0.339681818181818,21
POR2018,12.9969433538979,0.51325,0.2046875,0.282,49
SAC2018,12.8398839020246,0.461055555555556,0.260555555555555,0.278222222222222,27
SAS2018,12.7070581511645,0.467470588235294,0.239058823529412,0.292705882352941,47
TOR2018,13.1775561445111,0.391888888888889,0.125222222222222,0.482722222222222,59
UTA2018,13.253405914374,0.449666666666667,0.175095238095238,0.375285714285714,48
WAS2018,13.4511399259048,0.4608,0.2794,0.2582,43
ATL2017,12.9837669846777,0.41235,0.2521,0.33495,43
BOS2017,14.2352536543422,0.447266666666667,0.202066666666667,0.350733333333333,53
BRK2017,13.2016172892515,0.461190476190476,0.153380952380952,0.386190476190476,20
CHO2017,13.8704,0.493315789473684,0.252052631578947,0.25478947368421,36
CHI2017,12.8296457078841,0.402277777777778,0.237055555555556,0.359888888888889,41
CLE2017,14.4507683469769,0.44175,0.17605,0.3819,51
DAL2017,15.3370518518519,0.409208333333333,0.251541666666667,0.335041666666667,33
DEN2017,12.7975535168196,0.549526315789474,0.148368421052632,0.298789473684211,40
DET2017,13.0588437242516,0.437,0.279533333333333,0.2844,37
GSW2017,14.1478151260504,0.528823529411765,0.234117647058824,0.237411764705882,67
HOU2017,14.4191275167785,0.4995,0.093111111111111,0.407111111111111,55
IND2017,13.4953253498774,0.4675625,0.2985,0.232375,42
LAC2017,14.2829032258064,0.427733333333333,0.262266666666667,0.3104,51
LAL2017,12.5526102735902,0.526055555555555,0.215277777777778,0.258833333333333,26
MEM2017,13.4750510650715,0.489529411764706,0.203882352941176,0.305941176470588,43
MIA2017,13.0328549097627,0.4572,0.216,0.325066666666667,41
MIL2017,11.8404467609829,0.459894736842105,0.159894736842105,0.380052631578947,42
MIN2017,12.4543195608206,0.4674375,0.2803125,0.2525,31
NOP2017,13.3430855539972,0.427461538461539,0.211192307692308,0.360038461538462,34
NYK2017,13.2195562293275,0.4848125,0.2376875,0.274,31
OKC2017,12.1035709303948,0.478894736842105,0.183263157894737,0.337631578947368,47
ORL2017,13.5311229496705,0.373526315789474,0.281473684210526,0.344894736842105,29
PHI2017,13.2622282608696,0.488,0.189142857142857,0.321857142857143,28
PHO2017,12.5559228650138,0.4375,0.244777777777778,0.317111111111111,24
POR2017,13.4431364215895,0.482866666666667,0.1988,0.318266666666667,41
SAC2017,13.1063855063855,0.437842105263158,0.240789473684211,0.321473684210526,32
SAS2017,13.4604458041958,0.4601875,0.2350625,0.3063125,61
TOR2017,13.1906620410523,0.497117647058824,0.200058823529412,0.302,51
UTA2017,13.0832386799693,0.503266666666667,0.192533333333333,0.304733333333333,51
WAS2017,13.1274485077764,0.449235294117647,0.231176470588235,0.318647058823529,49
ATL2016,12.7039289325437,0.451705882352941,0.193352941176471,0.355,48
BOS2016,12.3841076796939,0.479125,0.21725,0.3035625,48
BRK2016,11.5929190751445,0.480176470588235,0.291,0.227705882352941,21
CHO2016,13.7006067610517,0.429411764705882,0.248470588235294,0.321823529411765,48
CHI2016,12.2017294281729,0.4768125,0.2605,0.2625625,42
CLE2016,13.2489256678281,0.421333333333333,0.214055555555556,0.364666666666667,57
DAL2016,13.6986231884058,0.5024375,0.2191875,0.2785625,42
DEN2016,11.75680422676,0.440684210526316,0.177631578947368,0.381578947368421,33
DET2016,12.2792577959644,0.405352941176471,0.215235294117647,0.378823529411765,44
GSW2016,13.4692694510406,0.5355625,0.22125,0.2433125,73
HOU2016,12.505579085731,0.544176470588235,0.144823529411765,0.311470588235294,41
IND2016,13.0922977809592,0.50125,0.2786875,0.2210625,45
LAC2016,14.2094244710756,0.504888888888889,0.224611111111111,0.270166666666667,53
LAL2016,13.0172944220817,0.4686,0.277066666666667,0.2552,17
